               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.032626,           0.0065447,            0.074071,             0.71513,             0.86219,             0.83358,             0.53139,            0.027493,           0.0043937,            0.074082,           0.0074585,           0.0074585,           0.0074585
                 109,            0.033778,           0.0057801,            0.074117,              0.7417,             0.85512,             0.82568,             0.48058,            0.029988,           0.0043295,            0.074064,            0.007416,            0.007416,            0.007416
                 110,            0.032897,           0.0060574,            0.074116,             0.74443,             0.84806,              0.8307,             0.53457,            0.026856,           0.0043627,            0.074068,           0.0073733,           0.0073733,           0.0073733
                 111,            0.033707,           0.0058913,            0.074084,             0.69802,             0.91873,             0.83606,             0.52324,            0.027924,           0.0042904,            0.074062,           0.0073303,           0.0073303,           0.0073303
                 112,            0.034891,           0.0053211,             0.07405,             0.69244,              0.9258,             0.82831,             0.46121,            0.032478,           0.0042219,             0.07407,           0.0072872,           0.0072872,           0.0072872
                 113,            0.040973,           0.0058173,            0.074179,              0.7334,             0.90459,             0.84775,             0.51137,            0.028444,           0.0043999,            0.074083,           0.0072438,           0.0072438,           0.0072438
                 114,            0.034146,           0.0068308,            0.074193,             0.69964,             0.82686,             0.78472,               0.431,            0.028561,           0.0043519,            0.074053,           0.0072003,           0.0072003,           0.0072003
                 115,            0.038145,           0.0057627,             0.07409,             0.67762,             0.92226,             0.78687,             0.48517,            0.026821,           0.0044232,            0.074067,           0.0071566,           0.0071566,           0.0071566
                 116,            0.030798,           0.0061567,            0.074164,             0.66639,             0.91873,             0.79837,             0.52195,            0.024544,           0.0044334,             0.07404,           0.0071127,           0.0071127,           0.0071127
                 117,            0.029893,           0.0060079,            0.074105,             0.65183,             0.93286,              0.7807,              0.4889,             0.02505,           0.0043202,            0.074048,           0.0070686,           0.0070686,           0.0070686
                 118,            0.031686,           0.0060635,            0.074157,             0.66099,             0.89753,             0.78336,             0.50658,            0.027166,           0.0043185,            0.074046,           0.0070243,           0.0070243,           0.0070243
                 119,            0.032832,           0.0057243,             0.07408,              0.7113,             0.87931,             0.81704,             0.51939,            0.028658,           0.0042709,            0.074031,           0.0069799,           0.0069799,           0.0069799
                 120,            0.030978,           0.0059206,             0.07407,             0.78183,             0.83746,             0.84906,             0.56273,            0.024518,            0.004303,            0.074026,           0.0069353,           0.0069353,           0.0069353
                 121,            0.031089,            0.005527,            0.074069,             0.69326,             0.95053,             0.84147,             0.49559,            0.029165,           0.0041716,            0.074007,           0.0068906,           0.0068906,           0.0068906
                 122,              0.0348,            0.005948,            0.074054,              0.7252,             0.90455,             0.83553,             0.52078,            0.026103,           0.0042063,            0.074014,           0.0068457,           0.0068457,           0.0068457
                 123,            0.034592,           0.0057363,            0.074082,             0.71056,             0.91086,             0.81925,             0.42023,            0.027233,           0.0041353,            0.074019,           0.0068006,           0.0068006,           0.0068006
                 124,            0.032206,           0.0062287,            0.074078,             0.71448,             0.89306,             0.79827,             0.48104,            0.025146,           0.0041118,            0.073998,           0.0067555,           0.0067555,           0.0067555
                 125,            0.033797,           0.0059149,            0.074074,             0.73491,             0.89399,             0.81819,             0.52765,            0.023367,            0.004121,             0.07401,           0.0067101,           0.0067101,           0.0067101
                 126,            0.027466,           0.0058338,            0.074057,              0.7761,             0.85866,               0.825,             0.53393,            0.023311,           0.0039813,            0.073987,           0.0066647,           0.0066647,           0.0066647
                 127,            0.030673,           0.0050062,            0.074031,             0.73202,             0.87986,             0.79339,             0.41455,            0.026802,           0.0038894,            0.074003,           0.0066191,           0.0066191,           0.0066191
                 128,            0.034404,           0.0055208,             0.07407,             0.79025,             0.89753,             0.86317,             0.56992,            0.024277,           0.0039849,            0.074025,           0.0065734,           0.0065734,           0.0065734
                 129,            0.027347,           0.0061643,            0.074037,             0.79482,             0.90343,             0.86487,              0.5969,            0.022519,           0.0038504,            0.073996,           0.0065276,           0.0065276,           0.0065276
                 130,            0.028364,           0.0050165,             0.07406,             0.74003,             0.91166,             0.85293,             0.57661,            0.022752,           0.0038718,            0.074028,           0.0064816,           0.0064816,           0.0064816
                 131,            0.027589,           0.0050159,            0.074032,             0.77937,             0.90106,             0.86959,             0.57337,            0.023065,           0.0037977,            0.074002,           0.0064356,           0.0064356,           0.0064356
                 132,            0.026621,           0.0054221,             0.07401,             0.81401,             0.87279,             0.87933,             0.62766,            0.022357,           0.0036841,            0.073992,           0.0063895,           0.0063895,           0.0063895
                 133,            0.028905,           0.0049594,            0.073975,             0.81798,             0.86219,             0.86947,             0.59605,            0.025149,           0.0036325,             0.07399,           0.0063432,           0.0063432,           0.0063432
                 134,            0.028119,           0.0055497,            0.073989,             0.79463,             0.91873,             0.86777,             0.58161,            0.022016,           0.0036502,            0.073982,           0.0062969,           0.0062969,           0.0062969
                 135,            0.028043,           0.0054419,            0.074035,             0.80481,             0.91787,             0.87809,             0.60181,             0.02265,           0.0036099,            0.073987,           0.0062505,           0.0062505,           0.0062505
                 136,            0.027294,           0.0047878,            0.073995,             0.76157,             0.94346,             0.87578,             0.57541,            0.026455,           0.0036013,            0.073985,            0.006204,            0.006204,            0.006204
                 137,            0.034357,           0.0048779,            0.073993,             0.83061,             0.90101,             0.90497,             0.57863,            0.025869,           0.0036596,            0.073997,           0.0061574,           0.0061574,           0.0061574
                 138,            0.027806,           0.0052711,            0.074106,             0.82989,             0.91519,             0.90706,             0.62384,            0.022137,           0.0036615,            0.073967,           0.0061107,           0.0061107,           0.0061107
                 139,            0.025998,           0.0056199,            0.074018,             0.76669,             0.91873,             0.87872,             0.60018,            0.022404,           0.0037017,            0.073967,            0.006064,            0.006064,            0.006064
                 140,             0.02559,           0.0046367,            0.074045,             0.79005,             0.90422,             0.87072,              0.5997,            0.021656,           0.0036801,             0.07397,           0.0060172,           0.0060172,           0.0060172
                 141,            0.028223,           0.0051267,            0.074003,             0.79219,             0.92933,              0.8796,             0.60204,            0.023276,           0.0035415,            0.073958,           0.0059704,           0.0059704,           0.0059704
                 142,            0.026099,           0.0053649,            0.073976,             0.81632,             0.87945,             0.87131,             0.60376,            0.021415,           0.0035232,            0.073948,           0.0059235,           0.0059235,           0.0059235
                 143,            0.030707,           0.0047688,            0.073995,              0.8106,              0.9074,             0.89054,             0.60353,            0.023536,            0.003513,            0.073951,           0.0058766,           0.0058766,           0.0058766
                 144,            0.030394,           0.0049798,            0.074035,             0.77676,             0.91166,             0.88307,              0.6164,             0.02137,           0.0035716,            0.073985,           0.0058296,           0.0058296,           0.0058296
                 145,            0.027136,           0.0051903,            0.074051,             0.79223,             0.89399,             0.89081,             0.58761,            0.023011,           0.0035427,            0.073967,           0.0057826,           0.0057826,           0.0057826
                 146,            0.025073,            0.004713,            0.074006,             0.78892,             0.91126,             0.89276,              0.5781,            0.023803,           0.0035325,             0.07397,           0.0057355,           0.0057355,           0.0057355
                 147,            0.028001,           0.0049277,            0.074034,             0.78549,             0.91873,             0.87087,             0.55324,            0.023486,           0.0035548,            0.073952,           0.0056884,           0.0056884,           0.0056884
                 148,            0.028525,           0.0049521,             0.07399,             0.79353,              0.9258,             0.87508,             0.60073,            0.021194,           0.0035213,            0.073938,           0.0056413,           0.0056413,           0.0056413
                 149,            0.026733,           0.0045713,            0.073981,             0.80592,             0.93907,             0.88946,             0.62092,            0.021218,           0.0034687,            0.073948,           0.0055942,           0.0055942,           0.0055942
                 150,            0.025242,           0.0046742,            0.073994,             0.82173,               0.947,             0.90399,             0.67914,            0.019505,            0.003394,            0.073947,           0.0055471,           0.0055471,           0.0055471
                 151,            0.025241,           0.0048348,            0.073977,             0.82802,             0.93567,             0.89523,             0.64693,            0.019893,           0.0033221,            0.073937,              0.0055,              0.0055,              0.0055
                 152,            0.027346,           0.0046763,             0.07398,             0.83539,             0.91458,             0.91272,             0.67125,            0.019752,           0.0032875,            0.073933,           0.0054529,           0.0054529,           0.0054529
                 153,            0.026999,            0.004709,            0.073952,             0.83489,             0.91166,             0.90625,             0.66803,            0.019939,           0.0033022,            0.073942,           0.0054058,           0.0054058,           0.0054058
                 154,            0.024932,           0.0048857,            0.073991,             0.82035,             0.93586,             0.91461,             0.67966,             0.01946,           0.0032703,            0.073937,           0.0053587,           0.0053587,           0.0053587
